ID,Resource,Zone,technology,owner,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,STOR,VRE,THERM,New_Build
1,pltu_bolok_1,1,coal,pln,16.5,16.5,0.0,22.132796780684107,19.794114553295607,25.504086503443613,0,0,1,0
2,pltu_bolok_2,1,coal,pln,16.5,16.5,0.0,22.132796780684107,19.233766700901423,24.782096132972573,0,0,1,0
3,pltmg_kupang_peaker,1,gas,pln,40.0,40.0,0.0,53.65526492287056,19.195638365650826,24.732968986726892,0,0,1,0
4,pltd_tenau,1,diesel,pln,0.0,30.0,-30.0,0.0,0.0,0.0,0,0,1,0
5,pltd_kuanino,1,diesel,pln,0.0,10.0,-10.0,0.0,0.0,0.0,0,0,1,0
6,pltd_soe,2,diesel,pln,0.0,8.0,-8.0,0.0,0.0,0.0,0,0,1,0
7,pltd_kefamenanu,2,diesel,pln,0.0,6.0,-6.0,0.0,0.0,0.0,0,0,1,0
8,plts_kupang,1,solar,pln,5.0,5.0,0.0,6.70690811535882,1.6683077388727938,2.149561414935433,0,1,0,0
9,plts_candidate_kupang,1,solar,pln,36.593468527785106,0.0,36.593468527785106,49.0858062076259,12.189536910050041,15.70583028373324,0,1,0,1
10,plts_candidate_soe,2,solar,pln,16.8,0.0,16.8,22.535211267605636,5.629405770355544,7.25331013638235,0,1,0,1
11,batt_candidate_kupang,1,battery,pln,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
12,batt_candidate_soe,2,battery,pln,3.3813073479062496,0.0,3.3813073479062496,4.5356235384389665,0.5052219657569672,0.6509624203402522,1,0,0,1
